"","Overall"
"Bin.2.54",100
"Bin.3.98",92.24
"Bin.2.70",79.857
"Bin.7.54",63.91
"Bin.2.66",62.057
"Bin.7.82",59.532
"Bin.3.94",52.768
"Bin.3.06",52.218
"Bin.3.04",46.32
"Bin.2.58",44.408
"Bin.7.86",43.545
"Bin.4.04",39.291
"Bin.3.42",38.837
"Bin.3.70",37.772
"Bin.3.58",34.131
"Bin.0.94",33.401
"Bin.4.06",31.783
"Bin.3.22",31.199
"Bin.7.58",30.467
"Bin.3.46",27.966
"Bin.3.74",27.489
"Bin.3.66",26.775
"Bin.3.26",26.272
"Bin.2.06",24.724
"Bin.0.98",22.498
"Bin.7.62",22.266
"Bin.0.90",21.66
"Bin.7.66",21.578
"Bin.3.14",21.207
"Bin.2.26",20.473
"Bin.3.50",19.954
"Bin.3.62",19.615
"Bin.2.10",18.031
"Bin.1.22",17.889
"Bin.0.86",17.871
"Bin.4.22",17.517
"Bin.1.70",17.317
"Bin.4.10",16.711
"Bin.2.46",16.245
"Bin.0.82",15.207
"Bin.3.30",15.095
"Bin.1.26",14.887
"Bin.3.78",13.9
"Bin.4.30",12.92
"Bin.3.34",12.474
"Bin.1.66",12.447
"Bin.1.02",12.181
"Bin.1.94",11.86
"Bin.3.86",11.807
"Bin.2.02",11.707
"Bin.7.30",11.706
"Bin.2.30",11.629
"Bin.1.74",11.542
"Bin.1.54",11.501
"Bin.3.02",11.351
"Bin.4.34",11.347
"Bin.1.98",11.176
"Bin.2.50",11.163
"Bin.1.14",11.161
"Bin.3.18",11.103
"Bin.1.90",11.03
"Bin.7.38",10.886
"Bin.4.14",10.844
"Bin.4.26",10.658
"Bin.2.18",10.139
"Bin.1.18",10.075
"Bin.7.14",10.058
"Bin.2.62",9.9561
"Bin.2.98",9.8551
"Bin.0.78",9.7199
"Bin.1.86",9.5881
"Bin.1.38",9.5677
"Bin.1.62",9.5598
"Bin.3.90",9.3676
"Bin.1.34",9.1986
"Bin.1.78",9.1508
"Bin.7.06",8.9879
"Bin.1.42",8.6628
"Bin.2.34",8.0947
"Bin.4.02",7.9747
"Bin.1.82",7.7999
"Bin.4.18",7.7552
"Bin.7.42",7.6322
"Bin.1.58",7.6283
"Bin.3.82",7.5105
"Bin.0.74",7.0532
"Bin.3.54",6.999
"Bin.7.02",6.8795
"Bin.2.22",6.8492
"Bin.7.18",6.0224
"Bin.3.10",5.9968
"Bin.6.94",5.9184
"Bin.1.50",5.8582
"Bin.1.30",5.7237
"Bin.7.46",5.7153
"Bin.7.22",5.5948
"Bin.6.98",5.551
"Bin.1.06",5.426
"Bin.1.46",4.9871
"Bin.7.34",4.7602
"Bin.3.38",4.6716
"Bin.8.34",4.2804
"Bin.2.42",4.2346
"Bin.8.82",3.7657
"Bin.2.86",3.4952
"Bin.7.94",3.3915
"Bin.2.90",3.2447
"Bin.2.74",3.1992
"Bin.2.14",3.1665
"Bin.9.14",3.1142
"Bin.4.38",3.0828
"Bin.7.10",3.0168
"Bin.7.26",2.9693
"Bin.8.54",2.8913
"Bin.7.90",2.5628
"Bin.2.38",2.4372
"Bin.2.78",2.2234
"Bin.8.02",1.9739
"Bin.6.86",1.5392
"Bin.8.86",1.4781
"Bin.8.06",1.44
"Bin.8.10",1.2929
"Bin.2.94",1.2474
"Bin.7.50",1.2335
"Bin.7.98",0.8834
"Bin.6.90",0.79971
"Bin.7.74",0.70454
"Bin.1.10",0.68646
"Bin.2.82",0
