"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C002",-0.0028629,0.0018181,-0.0020584,-0.021044,-0.0050531,-0.0090463,-0.0071337,-0.00090359
"C004",-0.03844,0.011905,-0.0094628,-0.0022888,-0.0069608,-0.00018821,-0.0079226,-0.0035463
"C005",0.0017563,-0.0097284,-0.0035381,-0.01544,-0.00013623,-0.0037561,-0.0098629,-0.0019018
"C006",-0.01823,-0.0050851,-0.012117,0.025464,-0.0076205,-0.0082378,-0.0031121,-0.00072101
"C007",-0.0094411,-0.020944,0.0027607,-0.014236,-0.00047394,0.001212,0.024501,-0.0065942
"C009",-0.024416,-0.015767,0.0012794,0.0049396,2.4211e-05,-0.0045774,-0.0041965,0.0018385
"C010",-0.029447,0.003411,-0.0053245,0.0016586,-0.0028556,0.0023902,-0.0031109,-0.0040363
"C011",-0.043242,0.013276,-0.019253,-0.005994,-0.0016198,0.0035833,-0.001389,-0.0084926
"C012",-0.031067,-0.0036579,-0.0096928,-0.0012435,-0.005537,-0.002846,0.0018198,0.0081433
"C015",-0.02496,-0.013455,-0.0068849,0.0031486,-0.00051274,-0.002635,-0.0015989,-0.002048
"C016",-0.034496,-0.018933,-0.0062842,0.0065617,0.010979,0.0051951,-0.0050586,-0.0012874
"C017",0.021378,-0.024648,-0.0038973,-0.0047589,-0.009065,-0.0025901,0.014986,-7.0311e-05
"C019",-0.052648,-0.0006384,0.0060871,-0.0043991,-0.0016228,0.005469,-0.0058718,-0.0011466
"C020",-0.0081596,-0.017845,-0.00051055,-0.0098702,-0.0015061,-0.0074677,-0.0012415,0.0036229
"C021",-0.037284,-0.031939,0.025797,-0.0059582,-0.0039577,0.0023403,-0.0038513,0.006198
"C022",-0.0067468,-0.022675,0.0078095,0.0042478,-0.00098157,-0.004114,-0.0038853,-0.0015613
"C024",-0.024418,-0.012167,-0.021566,0.003656,0.01108,0.0020506,-0.00082778,0.0069074
"C026",-0.015911,-0.041695,0.0030077,0.013416,0.011683,0.0060433,0.0037186,0.003097
"C028",0.011399,-0.018924,-0.0096782,-0.013609,0.0019007,-0.0025924,0.00068676,0.011962
"C029",-0.047756,0.0075547,-0.0020709,-0.0035833,-0.0021388,0.0023105,-0.0054785,-0.0017531
"C030",-0.038869,-0.0067555,0.0062233,-0.006788,-0.0098712,0.0046535,0.0015576,-1.6966e-05
"C031",-0.044069,0.015809,-0.013469,0.0034755,-0.0046505,0.0029694,-0.0052104,-0.0082184
"C032",-0.061107,-0.0012718,-0.0074868,0.00704,-0.00016049,0.0035512,-0.0015198,-9.4189e-05
"C033",0.0021658,-0.024697,-0.011698,0.0035695,0.01379,-0.0057799,0.0099361,-0.013367
"C034",0.016823,-0.022179,-0.00084695,-0.0084308,-0.0075571,-0.005571,0.00070576,0.0018552
"P002",0.038542,0.018641,-0.00033375,-0.0098589,-0.0024946,-0.0043003,-0.0046195,-0.0018226
"P012",0.025089,0.015838,0.0064528,0.012607,0.0032339,-0.011855,-0.0038805,0.0012098
"P014",0.010144,0.017243,-0.00083669,0.0059957,0.0071076,-0.00013902,-0.0025182,0.0052523
"P027",-0.0045115,0.0075651,0.0060578,-0.0016225,0.0001471,0.0055274,0.005149,0.005164
"P034",0.025356,0.012934,0.005128,0.0017541,-0.0066687,0.0044035,0.004121,-0.0035364
"P037",0.026417,-0.015995,0.024933,-0.003909,0.0089147,0.015076,-0.017613,-0.0061926
"P038",0.030787,0.015485,0.0050513,-0.017499,0.0051508,0.0036488,0.00082385,0.00019414
"P041",0.06245,0.0083037,-0.0012682,0.004249,0.0002437,-0.0026214,-0.0013874,-0.0030922
"P042",0.0042284,-0.0017944,0.010009,0.009065,-0.0027653,-0.014502,-0.004142,-0.00043189
"P049",-0.016904,0.010837,0.01002,0.012199,-0.0034724,0.0023252,0.003573,0.0059662
"P056",0.012758,0.0059333,0.0036278,0.0056109,-0.00044476,0.0030903,0.0069334,0.0011059
"P058",0.040356,-0.0080069,0.010923,0.0069436,-0.0035714,0.0057929,-0.00077687,0.0019687
"P060",0.0077045,0.017496,0.0014849,0.01196,-0.005664,-0.0011174,0.0010381,-3.2894e-05
"P064",0.03202,0.015407,-0.00013999,-0.0089517,0.0041228,-0.00017833,-0.00097153,0.0026504
"P065",0.02998,0.01213,-0.00070765,0.0081787,0.00026622,0.0032575,0.0014752,0.0067746
"P070",0.0092431,0.01614,0.0050996,0.004996,-0.0031434,0.0030156,0.0040539,0.0045176
"P080",0.14003,-0.01796,-0.018643,0.0060507,-0.0085929,0.022264,-0.0035232,-0.0038218
"P085",0.03311,0.01131,0.011986,-0.0048193,0.0055047,-0.013981,0.0040276,-0.010613
"P086",-0.012299,0.027291,-0.0017382,-0.0034592,0.0060985,-0.0010675,0.006378,0.007926
"P089",0.022037,0.015018,0.00069284,-0.00035104,0.0073731,-0.0023325,0.0039628,0.00091054
"P092",0.016973,0.00544,0.016262,0.014565,0.0002727,-0.010392,0.001665,-0.0056208
"P099",-0.04661,0.016636,0.015315,0.0011608,-0.0026987,0.011169,0.0097671,-0.0037634
"P113",0.034733,0.0095168,-0.0041968,-0.010786,0.0066332,-0.0051174,-0.0069571,0.0018519
"P013b",0.059554,0.0021833,-0.011377,0.00078462,-7.3776e-06,-0.0052158,0.0012594,0.0049881
"P100b",-0.04114,0.041638,-0.0009272,-0.0043973,0.0072788,0.010882,0.0055217,0.00058181
